Nom Subcategoria;Informació;Contacte;Horaris;Pàgina web;Direcció
Casa de l'Aigua / Aula Ambiental ;"Equipament municipal amb 4 àmbits d’actuació: patrimonial (visites guiades, exposicions...); ambiental (itineraris, tallers...); comunitari (xerrades, exposicions, jocs d’aigua, cessió d’espais...) i cultural (concerts, teatre, dansa...).";934 63 77 71 / casadelaiguadt8@bcn.cat;Dimarts i dijous: 9 a 19 h Divendres: 9 a 14 h Dissabte: 10 a 14 h;;C. de Garbí, 2,
Espai 3 ulls;Espai comunitari d’educació, cultura i esports. Diversitat d’activitats i recursos en el diferents espais com són la biblioteca, ràdio, mediateca, patis, espai artístic i audiovisual i sales polivalents (sala d’actes, circ, cinema, teatre i gimnàs);660 755 612 / 618 063 894 / 660 524 031 espai3ulls@ietn.cat;Adaptable;https://instagram.com/ietrinitatnova_e3ulls?igshid=YmMyMTA2M2Y=;c. de la Pedrosa, 16
Casal de Barri;El Casal de Barri es un equipament municipal nascut per oferir tot tipus d’encontres, activitats i experiències de convivència entre totes les veïnes i veïns del barri. Vol afavorir la participació ciutadana, el voluntariat i la col·laboració mútua en l’organització d’activitats al barri.;677 408 447 / cbtrinitatnova@bcn.cat;De 9h a 21.30h;https://www.barcelona.cat/casalsdebarri/trinitat-nova/ca;c. de Garbí, 3
Ateneu Popular de 9Barris;Ateneu sociocultural i artístic independent i autogestionari basat en la democràcia participativa. Ofereix programació regular i cicles específics d'espectacles, residència d'artistes, suport a la creació, suport al teixit associatiu del barri i una oferta formativa de diferents nivells en àmbits com escriptura creativa, dansa, teatre i circ. ;93 350 94 75 info[@ateneu9b.net;;https://ateneu9b.net/;C/ Portlligat 11-15
Club de Petanca Trinitat Nova;Entitat esportiva que ofereix activitats  de voleibol, crosffit  i ioga;;;; C Vall d'Aro 2     
TUE;;655975696 / trinitatunioesportiva@gmail.com;;https://instagram.com/trinitatunioesportiva?igshid=YmMyMTA2M2Y=;c. de la Pedrosa, 2
FEEB;Fundació per a l’Esport i l’Educació de Barcelona (FEEB) és una entitat privada que gestiona iniciatives i activitats esportives, lúdiques i educatives de servei públic.Fomentant la pràctica esportiva, els seus valors i les dinàmiques socials que aquesta genera, com a elements transformadors dels barris per afavorir la integració i la cohesió social.;93 118 39 97 / fundacio@feeb.cat;De Dilluns a Divendres de 9:00 a 18:00 h.;https://feeb.cat/;Av. Litoral 86  
Bruixes i bruixots;Taller de percussió dirigit a petits i grans amb ganes d’aprendre ritmes i sons. ;bibtnbcn@gmail.com // 626 142 614 ;Divendres de 17.30h a 19.30h  ;;c. de la Pedrosa, 2 
Biblioteca Roquetes-Rafa Juncadella;és un equipament cultural i de proximitat que garanteix l'accés democràtic a la informació, la transmissió de coneixements, la formació, l'educació permanent, l'autoformació i el lleure.;932 76 87 85;"Dilluns i dimarts de 15.30 h a 20.00 h Dimecres, dijous i divendres de 09.30 h a 13.30 h i dissabte de 10h a 14h 
de 15.30 h a 20.00 h";https://ajuntament.barcelona.cat/biblioteques/biblesroquetes/ca;Via Favència, 288B
Biblioteca Trinitat Vella;és un equipament cultural i de proximitat que garanteix l'accés democràtic a la informació, la transmissió de coneixements, la formació, l'educació permanent, l'autoformació i el lleure.;937 06 40 02;"Dilluns i divendres de 15.30 h a 20.00 h Dimarts, dimecres i dijous de 09.30 h a 13.30 h i de 15.30h a 20.00h dissabte de 10h a 14h 
de 15.30 h a 20.00 h";https://ajuntament.barcelona.cat/biblioteques/bibtrinitatvella/ca;Carrer de Galícia, 16,
Hort urbà  La Casa de l'Aigua;Espai amb 30 parcel·les pel conreu, per a jubilats del districte en règim de concessió durant 5 anys. Adjudicacions per sorteig públic organitzat per el districte de Nou Barris. La gestió es porta des de l'Institut de Parcs i Jardins de Barcelona.;;;https://guia.barcelona.cat/es/detall/hort-urba_99400186934.html;C Garbí, 2*4
Hort urbà del Casal de Barri ;;;;;c. de Garbí, 3
Hort urbà de les Feixes;;;;;
