Nom Subcategoria;Informació;Contacte;Horaris;Pàgina web;Direcció
AVV;;avvtrinitatnova@gmail.com ;;;
Taula Oberta;;taula.oberta.tn@gmail.com ;;;
Somos la Trini;;somoslatrini@gmail.com ;;;
revive la trini ;;manuleom@gmail.com;;;
Xarxa de suport de la Trinitat Nova;;xarxasuporttrinitatnova@gmail.com ;;;
Associació de comerciants;;93 797 70 51/podoterapia@hotmail.com;;http://www.comerciantstrinitatnova.cat/;
Comissió de festes ;;<comissiofestestn@gmail.com>,;;;
AFA IETN;;afa@ietn.cat;;;
AFA L'Airet;;ampalairet@gmail.com;;;
AFA Escola Bressol Municipal;;afaebmtn@gmail.com;;;
ResCat;Rescat es una asociación sin ánimo de lucro. Nuestro principal objetivo es velar por los gatos que se encuentran en nuestras calles. Por ello, y gracias principalmente a vuestros donativos, podemos continuar con nuestra labor y sufragar los grandes gastos veterinarios, de alimentación y cuidados que necesitan todos ellos.;asociacion.animalista.rescat@hotmail.com;Miércoles de 18:30h a 20:00h y domingos de 11:00h a 14:00h;https://asociacion-rescat.cat/contacto/;Carrer de la Fosca, 2
Audiència Pública;;;;;https://ajuntament.barcelona.cat/noubarris/es/el-ayuntamiento/participacion/audiencia-publica
Programa d'actuació municipal;;;;;https://www.decidim.barcelona/processes/PAM2020
Consells de Barri;;;;;https://www.decidim.barcelona/assemblies/barrilatrinitatnova
Associació Bidó de Nou Barris     ;;<coordinacio@ateneu9b.net>;;;
Coordinadora Cultural Zona Centre de Nou Barris;;<coordinadoracultural@gmail.com>;;;
 Associació del Comerç i les Empreses de Trinitat Nova de Barcelona ;;comerctrinitatnova@gmail.com ;;;C Fosca 10  
Grup de Foc de Nou Barris     C Portlligat 11     ;;grup.foc.9b@gmail.com;;;
Associació Ocellaire Trinitat Nova ;;mailto:marcospardo69@hotmail.com;;;Vilarreal s/n
La Trini Uneix;;trinitatuneix@gmail.com ;;;
Associació   Cultural d’Amics de Nou barris ;;687575788;;;C Aigua Blava , 119
