Nom Subcategoria;Informació;Contacte;Horaris;Pàgina web;Direcció
Centre d'atenció i seguiment de drogradiccions (CASD);Els Centres d’atenció i seguiment a les drogodependències de Barcelona estan especialitzats en el tractament de les addiccions.;Tel: 93 354 02 19;;;Via Favència, 379
Centre de Salut Mental D'adults Nou Barris Nord;S'ofereix atenció psicològica, atenció psiquiàtrica i atenció social a la població adulta resident en el districte de Nou Barris;Tel. 93 353 84 22;;https://csm9b.com/es/centros/csma-nou-barris-nord;Passeig Valldaura, 214
Centre de salut mental infanto-juvenil;Servei especialitzat en salut mental que ofereix atenció ambulatòria especialitzada en psiquiatria i psicologia a menors de 18 anys i a les seves famílies o referents;Tel. 933 59 33 17;;;Passeig de Valldaura 214, 1a planta
EIPI;Centre de Desenvolupament Infantil i Atenció Precoç. És un servei especialitzat que atén a infants d'entre 0 i 6 anys que tenen alteració en el desenvolupament, o que tenen risc de patirla, i també a les seves famílies i al seu entorn.;Tel. 932 564 700 /eipinb@bcn.cat;;;C/Luz Casanovas,11
Konsulta'm;Consulta oberta per la deteccció i atenció precoç del patiment psicològic i/o problemes de salut mental per a adolescents i joves de 12 a 22 amys. També assessoren a famílies i professionals;Tel. 686 79 12 71 / konsultam@csm9b.com;Dimecres de 16 a 20 hores;;C/Vallcivera, 14
Konsulta'm + 22;Consulta oberta per la deteccció i atenció precoç del patiment psicològic i/o problemes de salut mental per a persones de més de 22 anys. També assessoren a famílies i professionals;Tel. 671 516 176 /konsultam22@csm9b.com;Dilluns i dimecres, 17 a 20 hores;;Carrer de l'Estudiant, 1
Aquí t'escoltem;Servei adreçat als i les joves que cerquen assessorament psicològic individual i/o compartir amb altres joves tallers trimestrals i activitats puntuals creades a partir dels seus interessos (sexualitat, música, teatre, etc.).;Tel. 932 56 36 00 /consulta_aquitescoltem@bcn.cat;;;c/ del Teide, 20 (Espai Jove Les Basses)
Associació de Famílies per la Salut Mental de Nou Barris (AFEM);Assessorament, orientació, suport psicològic individual, suport emocional en salut mental a familiars, persones amb experiència pròpia i població en general.;Tel. 654 154 382/associacio@afemnoubarris.org;;https://www.afemnoubarris.org/;
Matissos;L'Associació Sociocultural Matissos té l'art i el suport mutu com a principals eines per a la recuperació de persones usuàries dels serveis de Salut Mental, és a dir, que pateixen o han patit un malestar psicològic greu al llarg de la seva vida.;Tel. 622 27 05 08 / info@matissos.org;;https://www.matissos.org/;C/Vila-Seca, 1D
Servei Orientacions de Drogues (SOD);Assessorament i atenció individualitzada a adolescents i joves consumidors de drogues. Assessorament i atenció a les famílies amb fills/filles consumidors/es;TEL. 93 237 87 56;"Dillus a dijous de 9 a 21 h; divendres de 9 a 20h";https://www.aspb.cat/wp-content/uploads/2016/05/SOD_servei_orientacio_sobre_drogues.pdf;c/Mallorca,221, 7e2a
Telefon prevenció del suicidi;Telefòn d'assistència per a persones que es troben en una situació difícil, i volen demanar ajudar;tel. 900 92 55 55;24 hores;;
Associació Catalana per la prevenció del suicidi (ACPS);Espai d'assessorament per a families i persones de l'entorn de persones en risc de suicidi;Tel. 652 873 826 /info@acps.cat;Dimarts, de 16.45 a 18.45 h.;;C/Viladomat, 127
Associació després del suïcidi- supervivents;Espai d'assessorament per a persones que han viscut un suïcidi en el seu entorn;Tel. 662 545 199 /info@despresdelsuicidi.org;Dilluns i dimecres, de 9.30 a 11.30 h,i dijous, de 16.00 a 18.00 h.;;C/Viladomat, 127
Servei d'Atenció Psicopatològica i Psicosocial a Inmigrants i Refugiats (SAPPIR);Programa especialitzat en l’atenció a les necessitats en salut mental de persones immigrants i refugiades així com la recerca, avaluació, supervisió i docència en camp;Tel. 93 44230 00 /sappir@pereclaver.org;Dimarts de 9 a 19h , dimecres de 9 a 14h, dijous de 9 a 16h ;;C/ Vilà i vilà, 16
