Nom Subcategoria;Informació;Contacte;Horaris;Pàgina web;Direcció
Punt d'informació Jove;És un servei municipal per a joves de 12 a 35 anys que els orienta i assessora sobre temes del seu interès: formació, treball, cultura, esports, turisme, habitatge, mobilitat internacional, salut jove, entre d’altres. ;"932563602 – pijnoubarris@bcn.cat – WhatsApp: 690 142 170";;https://www.instagram.com/pijnoubarris/;c. del Teide, 20
CJAS ;Centre Jove d’Atenció a les Sexualitats (CJAS) és un servei d’atenció específica als adolescents i joves i sempre GRATUïT, CONFIDENCIAL I PRESERVANT LA MÀXIMA ANONIMITAT POSSIBLE. S’ofereix a nois i noies fins a 25 anys. ; 93 415 10 00  WhatsApp: 687 74 86 40  - administracio@centrejove.org; dilluns a dijous d’11 a 19.30h i divendres de 10 a 17h. (Dimarts i dijous migdia tancat de 14 a 16h).;https://centrejove.org/;Carrer la Granja, 19 (Barcelona) 
CRAJ;Centre de Recursos per a les Associacions Juvenils de Barcelona : plataforma d’associacions i col·lectius que representa la joventut organitzada de Barcelona, treballa en xarxa per promoure l’associacionisme, genera discurs sobre les problemàtiques i inquietuds de les persones joves i contribueix a aportar propostes i construir alternatives.;93 265 52 17;De dilluns a divendres de 10 a 15 i de 16 a 20 h.;https://www.crajbcn.cat/;C. Gran de Gràcia 190-192
Aquí t'escoltem;Servei per a joves de 12 a 20 anys. És gratuït!Tens un mal dia i necessites que algú t'escolti? Sents angoixa o desànim i no saps què et passa? Si tens ganes de posar-hi solució... Vine i en parlem!Activitats creades a partir dels teus interessos (sexualitat, música, xarxes socials, ball...), per tal que et puguis conèixer millor i ser tu mateix/a!;652798791 Tallers i activitats grupals / 619019109 Atenció individual i confidencial /  lesbconsulta_aquitescoltem@bcn.catasses_aquitescoltem@bcn.cat / ;Horari d’atenció: dimarts de 16 a 20 h, dimecres de 10 a 14 i de 16 a 20 h;https://lesbasses.org/tallers-ATE/;C Teide, 20
Espai de trobada  per joves de Trinitat Nova ;Suport i acompanyament a propostes juvenils del barri.; 623202308 / dinamitzaciojovestn@incoop.cat;majoritàriament de tardes ;https://www.instagram.com/jovestrinitatnova/;AVV Trinitat Nova c.Fosca,10
APCs;Treball a partir del carrer amb jovent del territori. Coordinació amb agents, veïnat, entitats i equipaments, seguiment i acompanyament individual, grupal i treball comunitari. Disseny d’activitats i intervenció.  ;680 402 323 / apcroquetes@bcn.cat;majoritàriament de tarda;https://www.instagram.com/educastrc/;C. Vidal i Guasch, 76 - 78 
La Karpa;Projecte comunitari que programa activitats i  tallers de lleure saludable, activitats puntuals de  sensibilització a espai públic, entitats o centres  educatius i formació per a jovent com el curs de  monitores i monitors de temps lliure, tutor de joc  o d’altres. ;680 402 323 ;;;
Generació Circ;Taller de circ social dirigit a joves. Es treballen diverses disciplines: acrobàcia, aeris (trapezi i teles), malabars, monocicle i equilibris sobre objectes (bola i cable). Es fa una mostra final amb col·lectius del territori. ;"formacio@ateneu9b.net / tallers@ateneu9b.net // 933 509 475";Dimecres i divendres de 16 a 17:30h ;;c. de Portlligat, 11
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
https://ajuntament.barcelona.cat/agendajove/;;;;;
https://lesbasses.org/;;;;;
