Nom Subcategoria;Informació;Contacte;Horaris;Pàgina web;Direcció
AVV;;avvtrinitatnova@gmail.com ;;;
Taula Oberta;;;;;
Somos la Trini;;;;;
Todos somos la Trini;;;;;
Xarxa de suport de la Trinitat Nova;;;;;
Associació de comerciants;;;;;
AFA IETN;;;;;
AFA L'Airet;;;;;
AFA Escola Bressol Municipal;;;;;
Los gatos;;;;;
Audiència Pública;;;;;https://ajuntament.barcelona.cat/noubarris/es/el-ayuntamiento/participacion/audiencia-publica
Programa d'actuació municipal;;;;;https://www.decidim.barcelona/processes/PAM2020
Consells de Barri;;;;;https://www.decidim.barcelona/assemblies/barrilatrinitatnova
Associació ocellaire TN;;;;;
Associació Bidó de Nou Barris     ;;;;;
Coordinadora Cultural Zona Centre de Nou Barris;;;;;
 Associació del Comerç i les Empreses de Trinitat Nova de Barcelona ;;;;;C Fosca 10  
Grup de Foc de Nou Barris     C Portlligat 11     ;;;;;
Associació Ocellaire Trinitat Nova -  Vilarreal  s/n;;;;;
Revieve la Trini;;;;;
La Trini Uneix;;;;;
Associació   Cultural d’Amics de Nou barris  C Aigua Blava , 119  ;;;;;
Associació Unió;;;;;
